crate	file	test_name	kind	authorizing_ruling	rung	hd_receipt
simthing-clausething	crates/simthing-clausething/tests/tp_ownership_columns_0.rs	capture_as_column_flip_preserves_id_parentage_and_children	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_ownership_columns_0.rs	embedded_base_owner_siblings_and_ownership_volumes_parse	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_ownership_columns_0.rs	galaxymap_remains_gamesession_sibling	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_ownership_columns_0.rs	overlapping_ownership_selections_hard_error_with_span	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_ownership_columns_0.rs	owned_gridcells_remain_under_galaxymap_not_owners	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_ownership_columns_0.rs	owner_references_resolve_to_gamesession_sibling_owners	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_ownership_columns_0.rs	ownership_counts_are_200_50_1250_and_non_overlapping	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_ownership_columns_0.rs	terran_and_pirate_volumes_are_chebyshev_contiguous_and_adjacent	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_ownership_columns_0.rs	unknown_owner_reference_hard_errors_with_span	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_planet_surface_payload_0.rs	all_planet_gridcells_enumerate_surface_tier	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_planet_surface_payload_0.rs	embedded_base_owner_siblings_ownership_and_planet_surface_payload_parse	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_planet_surface_payload_0.rs	invalid_owned_payload_counts_hard_error_with_span	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_planet_surface_payload_0.rs	modifier_chains_admitted_through_existing_decoder_surfaces	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_planet_surface_payload_0.rs	neutral_payload_with_factory_hard_errors_with_span	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_planet_surface_payload_0.rs	neutral_systems_have_planet_surface_without_factory_or_cohort	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_planet_surface_payload_0.rs	owned_systems_have_planet_surface_factory_and_cohort	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_planet_surface_payload_0.rs	owner_refs_remain_gamesession_sibling_targets	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_planet_surface_payload_0.rs	ownership_columns_remain_200_50_1250	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_planet_surface_payload_0.rs	rf_settlement_path_exists_for_owned_surface_participants	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_planet_surface_payload_0.rs	surface_tier_is_non_vacuous_and_does_not_silently_collapse	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_planet_surface_payload_0.rs	unsupported_payload_fields_hard_error_with_span	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_shipsize_decoder_0.rs	tp_shipsize_decoder_0_table	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_shipsize_decoder_0.rs	tp_shipsize_decoder_0_lab_modifiers_log_subset	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_fleets_ships_0.rs	tp_fleets_ships_0_table	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_fleets_ships_0.rs	unsupported_fleet_ship_payload_fields_hard_error_with_span	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_scale_envelope.rs	tp_scale_envelope_disc_1500_admits_installs_with_budget	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-clausething	crates/simthing-clausething/tests/tp_full_transpile_0.rs	terran_pirate_galaxy_full_transpile_to_canonical_scenario_spec	integration	5158803863-DA	LIFECYCLE-EXPIRY-REAP	n/a
simthing-workshop	crates/simthing-workshop/tests/exact_consumer_obligation_0.rs	exact_consumer_obligation_0_admission_hard_errors_without_evidence	integration	5191578752-DA	EML-ARITHMETIC-SEMANTICS-0	b9070974440b
